detector,wavelength_nm,voltage_V,scan,timestamp
PDA50B2,1301.460000038147,1.3315802839290436,2,1772321219.671194
PDA50B2,1301.4699997901917,1.3108560699904543,2,1772321219.676194
PDA50B2,1301.4800000190735,1.3200668316531294,2,1772321219.681194
PDA50B2,1301.4899997711182,1.3197378758770446,2,1772321219.686194
PDA50B2,1301.5,1.305921733443163,2,1772321219.691194
PDA50B2,1301.5099997520447,1.331909239711585,2,1772321219.696194
PDA50B2,1301.5199999809265,1.3128298046206408,2,1772321219.701194
PDA50B2,1301.5299997329712,1.3223695220907392,2,1772321219.706194
PDA50B2,1301.539999961853,1.3217116105362403,2,1772321219.711194
PDA50B2,1301.5499997138977,1.304276954603006,2,1772321219.716194
PDA50B2,1301.5599999427795,1.3309223723644998,2,1772321219.721194
PDA50B2,1301.5699996948242,1.3118429373047422,2,1772321219.726194
PDA50B2,1301.579999923706,1.3220405663134003,2,1772321219.731194
PDA50B2,1301.5899996757507,1.3217116105362403,2,1772321219.736194
PDA50B2,1301.5999999046326,1.307895468057251,2,1772321219.741194
PDA50B2,1301.6099996566772,1.331909239711585,2,1772321219.746194
PDA50B2,1301.619999885559,1.3121718930765294,2,1772321219.751194
PDA50B2,1301.6299996376038,1.3217116105362403,2,1772321219.7561939
PDA50B2,1301.6399998664856,1.320395787429393,2,1772321219.761194
PDA50B2,1301.6499996185303,1.3016453084680477,2,1772321219.7661939
PDA50B2,1301.659999847412,1.3305934165824973,2,1772321219.771194
PDA50B2,1301.670000076294,1.3138166719381499,2,1772321219.776194
PDA50B2,1301.6799998283386,1.3223695220907392,2,1772321219.781194
PDA50B2,1301.6900000572205,1.3226984778682578,2,1772321219.786194
PDA50B2,1301.6999998092651,1.305921733443163,2,1772321219.791194
PDA50B2,1301.710000038147,1.331909239711585,2,1772321219.796194
PDA50B2,1301.7199997901917,1.3138166719381499,2,1772321219.801194
PDA50B2,1301.7300000190735,1.3207247432058362,2,1772321219.806194
PDA50B2,1301.7399997711182,1.3217116105362403,2,1772321219.811194
PDA50B2,1301.75,1.305921733443163,2,1772321219.816194
PDA50B2,1301.7599997520447,1.331909239711585,2,1772321219.821194
PDA50B2,1301.7699999809265,1.3141456277110108,2,1772321219.826194
PDA50B2,1301.7799997329712,1.3207247432058362,2,1772321219.831194
PDA50B2,1301.789999961853,1.3213826547592598,2,1772321219.836194
PDA50B2,1301.7999997138977,1.3052638219065638,2,1772321219.841194
PDA50B2,1301.8099999427795,1.3322381954943054,2,1772321219.846194
PDA50B2,1301.8199996948242,1.3121718930765294,2,1772321219.851194
PDA50B2,1301.829999923706,1.3210536989824584,2,1772321219.856194
PDA50B2,1301.8399996757507,1.3217116105362403,2,1772321219.861194
PDA50B2,1301.8499999046326,1.3049348661385325,2,1772321219.866194
PDA50B2,1301.8599996566772,1.3325671512772057,2,1772321219.871194
PDA50B2,1301.869999885559,1.3125008488484955,2,1772321219.876194
PDA50B2,1301.8799996376038,1.3220405663134003,2,1772321219.8811939
PDA50B2,1301.8899998664856,1.3217116105362403,2,1772321219.886194
PDA50B2,1301.8999996185303,1.3046059103706797,2,1772321219.8911939
PDA50B2,1301.909999847412,1.3325671512772057,2,1772321219.896194
PDA50B2,1301.9199995994568,1.3131587603929649,2,1772321219.9011939
PDA50B2,1301.9299998283386,1.3220405663134003,2,1772321219.906194
PDA50B2,1301.9399995803833,1.3236853452018884,2,1772321219.9111938
PDA50B2,1301.9499998092651,1.3052638219065638,2,1772321219.916194
PDA50B2,1301.9599995613098,1.3322381954943054,2,1772321219.9211938
PDA50B2,1301.9699997901917,1.3128298046206408,2,1772321219.926194
PDA50B2,1301.9799995422363,1.319079964325413,2,1772321219.9311938
PDA50B2,1301.9899997711182,1.3217116105362403,2,1772321219.936194
PDA50B2,1302.0,1.3072375565185061,2,1772321219.941194
PDA50B2,1302.0100002288818,1.3335540186269836,2,1772321219.9461942
PDA50B2,1302.0199999809265,1.314474583484051,2,1772321219.951194
PDA50B2,1302.0300002098083,1.3213826547592598,2,1772321219.9561942
PDA50B2,1302.039999961853,1.3240143009801237,2,1772321219.961194
PDA50B2,1302.0500001907349,1.3052638219065638,2,1772321219.9661942
PDA50B2,1302.0599999427795,1.3332250628435447,2,1772321219.971194
PDA50B2,1302.0700001716614,1.3131587603929649,2,1772321219.9761941
PDA50B2,1302.079999923706,1.3210536989824584,2,1772321219.981194
PDA50B2,1302.090000152588,1.3230274336459555,2,1772321219.9861941
PDA50B2,1302.0999999046326,1.3072375565185061,2,1772321219.991194
PDA50B2,1302.1100001335144,1.3345408859783776,2,1772321219.9961941
PDA50B2,1302.119999885559,1.3138166719381499,2,1772321220.001194
PDA50B2,1302.130000114441,1.3210536989824584,2,1772321220.006194
PDA50B2,1302.1399998664856,1.3223695220907392,2,1772321220.011194
PDA50B2,1302.1500000953674,1.305592777674774,2,1772321220.016194
PDA50B2,1302.159999847412,1.3332250628435447,2,1772321220.021194
PDA50B2,1302.170000076294,1.3141456277110108,2,1772321220.026194
PDA50B2,1302.1799998283386,1.3213826547592598,2,1772321220.031194
PDA50B2,1302.1900000572205,1.3220405663134003,2,1772321220.036194
PDA50B2,1302.1999998092651,1.3065796449804772,2,1772321220.041194
PDA50B2,1302.210000038147,1.3325671512772057,2,1772321220.046194
PDA50B2,1302.2199997901917,1.3125008488484955,2,1772321220.051194
PDA50B2,1302.2300000190735,1.320395787429393,2,1772321220.056194
PDA50B2,1302.2399997711182,1.3230274336459555,2,1772321220.061194
PDA50B2,1302.25,1.308882335366709,2,1772321220.066194
PDA50B2,1302.2599997520447,1.3342119301944,2,1772321220.071194
PDA50B2,1302.2699999809265,1.3138166719381499,2,1772321220.076194
PDA50B2,1302.2799997329712,1.3207247432058362,2,1772321220.081194
PDA50B2,1302.289999961853,1.3223695220907392,2,1772321220.086194
PDA50B2,1302.2999997138977,1.3049348661385325,2,1772321220.091194
PDA50B2,1302.3099999427795,1.3332250628435447,2,1772321220.096194
PDA50B2,1302.3199996948242,1.314474583484051,2,1772321220.101194
PDA50B2,1302.329999923706,1.3213826547592598,2,1772321220.106194
PDA50B2,1302.340000152588,1.3240143009801237,2,1772321220.1111941
PDA50B2,1302.3499999046326,1.305921733443163,2,1772321220.116194
PDA50B2,1302.3600001335144,1.3332250628435447,2,1772321220.1211941
PDA50B2,1302.369999885559,1.3121718930765294,2,1772321220.126194
PDA50B2,1302.380000114441,1.3194089201011392,2,1772321220.131194
PDA50B2,1302.3899998664856,1.3223695220907392,2,1772321220.136194
PDA50B2,1302.4000000953674,1.3065796449804772,2,1772321220.141194
PDA50B2,1302.409999847412,1.335527753331388,2,1772321220.146194
PDA50B2,1302.420000076294,1.3154614508042453,2,1772321220.151194
PDA50B2,1302.4299998283386,1.3197378758770446,2,1772321220.156194
PDA50B2,1302.4400000572205,1.3233563894238323,2,1772321220.161194
PDA50B2,1302.4499998092651,1.3046059103706797,2,1772321220.166194
PDA50B2,1302.460000038147,1.3315802839290436,2,1772321220.171194
PDA50B2,1302.4699997901917,1.3128298046206408,2,1772321220.176194
PDA50B2,1302.4800000190735,1.3197378758770446,2,1772321220.181194
PDA50B2,1302.4899997711182,1.3236853452018884,2,1772321220.186194
PDA50B2,1302.5,1.308882335366709,2,1772321220.191194
PDA50B2,1302.5099997520447,1.3358567091160842,2,1772321220.196194
PDA50B2,1302.5199999809265,1.3157904065780015,2,1772321220.201194
PDA50B2,1302.5299997329712,1.3200668316531294,2,1772321220.206194
PDA50B2,1302.539999961853,1.3230274336459555,2,1772321220.211194
PDA50B2,1302.5499997138977,1.3062506892117305,2,1772321220.216194
PDA50B2,1302.5599999427795,1.3332250628435447,2,1772321220.221194
PDA50B2,1302.5699996948242,1.314474583484051,2,1772321220.226194
PDA50B2,1302.579999923706,1.319079964325413,2,1772321220.231194
PDA50B2,1302.5899996757507,1.325001168315906,2,1772321220.236194
PDA50B2,1302.5999999046326,1.3062506892117305,2,1772321220.241194
PDA50B2,1302.6099996566772,1.3358567091160842,2,1772321220.246194
PDA50B2,1302.619999885559,1.31480353925727,2,1772321220.251194
PDA50B2,1302.6299996376038,1.3180930969993088,2,1772321220.2561939
PDA50B2,1302.6399998664856,1.3226984778682578,2,1772321220.261194
PDA50B2,1302.6499996185303,1.305592777674774,2,1772321220.2661939
PDA50B2,1302.659999847412,1.3342119301944,2,1772321220.271194
PDA50B2,1302.670000076294,1.3157904065780015,2,1772321220.276194
PDA50B2,1302.6799998283386,1.319079964325413,2,1772321220.281194
PDA50B2,1302.6900000572205,1.3233563894238323,2,1772321220.286194
PDA50B2,1302.6999998092651,1.3085533795967108,2,1772321220.291194
PDA50B2,1302.710000038147,1.3335540186269836,2,1772321220.296194
PDA50B2,1302.7199997901917,1.31480353925727,2,1772321220.301194
PDA50B2,1302.7300000190735,1.319079964325413,2,1772321220.306194
